Targets,Sample Size,Set Size,Set Size + Idiosyncratic,Frequency (K&F),Concreteness(Scale 1-7),Homograph? (Letter=Yes),Part of Speech,Mean Connectivity,Connectivity Strength,Resonance Probability,Resonance Strength,Accessibility Index,Non-Responses,Ending Stem Set Size  ,Ending Stem Strength,Beginning Stem Set Size,Beginning Stem Strength,Ending Fragment Cue,Ending Fragment Set size,Ending Fragment Strength,Beginning Fragment Cue,Beginning Cue Set Size,Beginning Cue Strength
TORN,148,15,37,25,missing,,V,missing,missing,missing,missing,4,0.02,12,0.09,missing,missing,--RN,17,0.02,,missing,missing
TORNADO,144,13,37,1,6.40,,N,2.91,3.300,0.64,1.560,10,0.01,35,0.00,missing,missing,,missing,missing,,missing,missing
TORTOISE,146,7,24,3,5.98,,N,1.00,1.570,0.29,1.100,3,0.07,missing,missing,missing,missing,,missing,missing,,missing,missing
TORTURE,146,13,46,3,missing,,N,1.08,2.350,0.25,1.040,5,0.03,7,0.00,missing,missing,,missing,missing,,missing,missing
TOSS,165,11,17,9,3.65,,V,0.90,2.090,0.40,1.260,8,0.00,10,0.12,5,0.02,-OSS,4,0.19,TO--,17,0.02
TOTAL,123,6,34,211,3.62,,N,1.67,1.370,0.33,1.230,7,0.00,missing,missing,missing,missing,,missing,missing,,missing,missing
TOTE,148,7,16,1,4.57,,V,1.14,1.310,0.14,1.050,1,0.09,15,0.00,missing,missing,--TE,14,0.06,TO--,17,0.11
TOUCH,165,10,26,87,4.48,,V,1.60,2.600,0.60,1.560,36,0.00,7,0.14,9,0.07,-OUCH,3,0.43,TOU--,3,0.59
TOUCHDOWN,152,10,23,6,missing,,N,missing,missing,missing,missing,2,0.00,missing,missing,missing,missing,,missing,missing,,missing,missing
TOUCHY,152,17,50,1,missing,,AJ,missing,missing,missing,missing,3,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
TOUGH,146,15,46,36,4.00,,AJ,1.53,4.780,0.33,1.160,20,0.03,20,0.10,7,0.67,-OUGH,4,0.26,TOU--,3,0.15
TOUR,144,16,41,43,4.65,,N,1.50,3.890,0.06,1.210,1,0.05,7,0.00,missing,missing,,missing,missing,TO--,9,0.01
TOURIST,152,25,67,16,5.29,,N,missing,missing,missing,missing,3,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
TOW,146,13,29,1,4.00,,V,1.38,1.960,0.08,1.010,5,0.01,35,0.05,missing,missing,-OW,11,0.01,TO-,7,0.01
TOWEL,148,19,31,6,6.83,,N,3.32,7.130,0.42,1.610,14,0.00,14,0.12,missing,missing,---EL,17,0.05,TOWE-,3,0.32
TOWER,127,20,46,13,6.96,,N,missing,missing,missing,missing,7,0.02,12,0.19,missing,missing,,missing,missing,TOWE-,3,0.62
TOWN,138,10,24,212,5.52,,N,1.33,2.140,0.33,1.650,14,0.04,9,0.10,missing,missing,,missing,missing,TO--,9,0.16
TOY,180,19,26,4,5.32,G,N,2.29,4.070,0.12,1.810,21,0.01,10,0.16,missing,missing,--Y,24,0.15,TO-,7,0.02
TOYS,152,21,39,11,5.32,,N,missing,missing,missing,missing,8,0.01,missing,missing,missing,missing,,missing,missing,TO--,17,0.02
TRACE,147,20,40,23,3.67,N,N,0.65,2.320,0.06,1.020,2,0.08,14,0.02,missing,missing,--ACE,5,0.23,TR---,19,0.09
TRACK,156,12,31,38,6.59,T,N,0.75,1.240,0.42,1.450,15,0.01,25,0.01,missing,missing,--ACK,8,0.02,,missing,missing
TRACTOR,141,10,25,24,5.86,,N,0.70,1.080,0.20,1.050,7,0.01,5,0.20,missing,missing,,missing,missing,,missing,missing
TRADE,153,22,54,143,3.68,N,N,1.90,4.030,0.19,1.900,9,0.08,23,0.01,missing,missing,,missing,missing,TR---,19,0.00
TRADITION,146,19,51,94,3.09,,N,1.27,1.780,0.20,1.310,4,0.04,missing,missing,missing,missing,,missing,missing,,missing,missing
TRAFFIC,149,14,33,68,5.83,,N,1.00,1.980,0.42,1.180,17,0.03,2,0.16,missing,missing,,missing,missing,,missing,missing
TRAGEDY,142,22,46,49,2.59,,N,2.33,5.720,0.19,1.140,7,0.06,missing,missing,missing,missing,,missing,missing,,missing,missing
TRAIL,165,21,34,31,5.23,G,V,1.95,5.270,0.29,1.270,12,0.01,28,0.00,missing,missing,,missing,missing,,missing,missing
TRAILER,147,14,39,11,5.84,,N,1.17,2.990,0.17,1.420,5,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
TRAIN,156,19,38,82,5.79,N,N,2.06,4.760,0.56,2.900,36,0.01,38,0.02,missing,missing,--AIN,10,0.07,TR---,19,0.15
TRAIT,152,13,42,3,missing,,N,0.60,0.990,0.30,1.230,6,0.08,25,0.00,missing,missing,,missing,missing,,missing,missing
TRAITOR,147,26,62,2,4.50,,N,missing,missing,missing,missing,5,0.05,missing,missing,missing,missing,,missing,missing,,missing,missing
TRAMP,145,13,37,1,4.08,,V,missing,missing,missing,missing,2,0.05,12,0.04,missing,missing,,missing,missing,,missing,missing
TRANCE,144,16,50,4,3.60,,N,missing,missing,missing,missing,1,0.05,10,0.00,missing,missing,,missing,missing,,missing,missing
TRANQUIL,152,13,35,2,3.30,,AJ,2.45,3.280,0.27,1.130,3,0.02,missing,missing,missing,missing,,missing,missing,,missing,missing
TRANSPARENT,146,9,23,13,missing,,AJ,missing,missing,missing,missing,3,0.02,14,0.00,missing,missing,,missing,missing,,missing,missing
TRANSPLANT,150,17,35,2,missing,,V,1.53,2.110,0.20,1.180,3,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
TRANSPORTATION,148,9,14,43,4.25,,N,2.62,3.300,0.63,1.110,9,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
TRAP,132,18,48,20,missing,G,N,1.38,2.130,0.25,1.120,9,0.02,20,0.01,missing,missing,--AP,13,0.10,,missing,missing
TRASH,154,11,20,2,5.76,,N,2.00,2.310,0.50,1.890,19,0.00,18,0.12,missing,missing,,missing,missing,TR---,19,0.05
TRAUMA,199,27,64,1,2.46,,N,2.42,5.210,0.08,1.040,2,0.04,missing,missing,missing,missing,,missing,missing,,missing,missing
TRAVEL,177,25,48,61,3.93,G,V,2.39,6.030,0.35,1.400,42,0.06,5,0.06,missing,missing,,missing,missing,,missing,missing
TRAY,147,19,41,18,5.86,,N,1.78,3.960,0.17,1.030,7,0.07,26,0.01,missing,missing,,missing,missing,,missing,missing
TREAD,139,12,33,5,3.70,,V,0.92,2.700,0.08,1.010,1,0.01,20,0.01,7,0.06,,missing,missing,TRE--,5,0.07
TREASON,148,19,50,6,missing,,N,missing,missing,missing,missing,1,0.05,missing,missing,missing,missing,,missing,missing,,missing,missing
TREASURE,126,14,30,4,5.05,,N,1.17,2.750,0.17,1.080,6,0.00,missing,missing,missing,missing,,missing,missing,,missing,missing
TREAT,148,19,51,26,3.95,T,V,1.94,2.890,0.12,1.340,4,0.00,17,0.02,missing,missing,,missing,missing,TRE--,5,0.34
TREATMENT,154,23,50,127,missing,,N,3.05,5.090,0.05,1.050,3,0.02,missing,missing,missing,missing,,missing,missing,,missing,missing
TREBLE,152,8,23,2,missing,,AJ,missing,missing,missing,missing,2,0.03,missing,missing,missing,missing,,missing,missing,,missing,missing
TREE,148,21,44,59,6.62,,N,0.76,1.400,0.76,6.800,106,0.02,33,0.00,missing,missing,--EE,5,0.13,,missing,missing
TREES,150,19,39,101,7.00,,N,1.53,2.560,0.12,1.080,17,0.01,21,0.02,missing,missing,--EES,4,0.52,TRE--,5,0.54
TRENCH,156,12,23,2,5.48,,N,1.64,2.380,0.00,1.000,0,0.07,6,0.02,7,0.01,--ENCH,7,0.05,,missing,missing
TREND,140,10,48,46,3.12,,N,1.38,1.790,0.25,1.150,3,0.06,17,0.02,7,0.02,,missing,missing,TRE--,5,0.01
TRIAL,144,14,36,134,4.92,T,N,2.62,3.490,0.15,1.200,14,0.01,15,0.00,missing,missing,,missing,missing,,missing,missing
TRIANGLE,148,14,25,4,5.19,,N,1.91,4.140,0.46,1.440,10,0.06,11,0.07,missing,missing,,missing,missing,,missing,missing
TRIBE,127,6,14,4,4.93,,N,1.17,1.560,0.17,1.030,3,0.04,8,0.26,missing,missing,,missing,missing,TR---,19,0.00
TRIBUTE,143,19,52,24,3.12,,N,0.59,1.310,0.00,1.000,0,0.18,missing,missing,missing,missing,,missing,missing,,missing,missing
TRICK,145,15,43,15,3.36,,N,0.86,1.340,0.43,1.600,23,0.05,21,0.00,missing,missing,--ICK,9,0.03,TR---,19,0.04
TRICYCLE,153,9,25,0,missing,,N,0.88,1.740,0.13,1.050,2,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
TRIGGER,154,7,24,12,missing,,N,0.43,1.030,0.14,1.010,2,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
TRIGONOMETRY,130,8,25,0,missing,,N,2.00,4.370,0.25,1.020,4,0.01,33,0.00,missing,missing,,missing,missing,,missing,missing
TRIM,145,13,32,20,4.05,T,V,1.09,3.420,0.27,1.100,9,0.03,17,0.03,missing,missing,--IM,8,0.25,,missing,missing
TRIP,148,10,32,81,4.39,T,N,1.40,1.250,0.70,2.070,49,0.08,20,0.00,missing,missing,--IP,12,0.12,,missing,missing
TRIUMPH,142,11,33,22,3.41,,V,2.55,2.770,0.18,1.020,3,0.23,missing,missing,missing,missing,,missing,missing,,missing,missing
TROMBONE,149,16,34,0,6.02,,N,5.31,6.750,0.25,1.050,4,0.04,missing,missing,missing,missing,,missing,missing,,missing,missing
TROPHY,99,9,19,8,6.29,,N,2.22,2.470,0.22,1.150,3,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
TROPICAL,147,23,44,11,missing,,AJ,2.55,5.040,0.18,1.170,4,0.00,missing,missing,missing,missing,,missing,missing,,missing,missing
TROT,145,8,23,12,3.92,,N,2.00,4.260,0.29,1.190,2,0.04,missing,missing,missing,missing,,missing,missing,,missing,missing
TROUBLE,146,18,67,134,2.25,,N,1.28,4.180,0.28,1.290,44,0.09,6,0.16,6,0.04,--OUBLE,1,0.93,TROU---,2,0.84
TROUSERS,156,5,13,7,5.67,,N,2.60,3.110,0.20,1.030,1,0.00,missing,missing,missing,missing,,missing,missing,,missing,missing
TROUT,149,2,6,4,5.93,,N,0.50,1.090,0.50,1.040,3,0.02,19,0.02,missing,missing,,missing,missing,TR---,19,0.05
TRUCE,151,17,41,5,3.05,,N,missing,missing,missing,missing,0,0.05,8,0.00,missing,missing,,missing,missing,TR---,19,0.00
TRUCK,148,17,34,57,7.00,,N,2.07,4.870,0.53,1.570,30,0.07,12,0.03,6,0.50,,missing,missing,TR---,19,0.09
TRUE,143,14,28,231,2.65,,AJ,1.00,2.580,0.21,1.800,22,0.01,30,0.00,missing,missing,--UE,7,0.05,,missing,missing
TRUMPET,147,16,21,7,7.00,,N,4.87,5.910,0.60,1.500,12,0.00,missing,missing,6,0.02,,missing,missing,,missing,missing
TRUNK,147,13,25,8,5.90,N,N,1.00,2.010,0.31,1.260,5,0.03,18,0.03,6,0.00,-R-NK,6,0.08,,missing,missing
TRUST,146,18,44,52,3.35,N,N,1.76,4.290,0.41,1.430,28,0.01,14,0.02,6,0.23,,missing,missing,TR---,19,0.01
TRUSTWORTHY,148,16,33,3,missing,,AJ,2.36,3.120,0.36,1.280,6,0.04,33,0.00,6,0.00,,missing,missing,,missing,missing
TRUTH,194,17,39,126,2.72,,N,1.75,2.030,0.50,1.860,52,0.01,10,0.04,missing,missing,,missing,missing,TR---,19,0.00
TRUTHFUL,144,7,21,1,2.43,,AJ,1.86,1.960,0.14,1.030,5,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
TRY,146,16,45,140,2.50,T,V,1.33,1.550,0.53,2.410,25,0.04,25,0.01,missing,missing,-RY,7,0.07,,missing,missing
TUB,140,12,19,13,5.90,,N,1.56,2.430,0.44,1.260,13,0.01,13,0.40,7,0.02,-UB,7,0.33,,missing,missing
TUBA,153,17,41,1,missing,,N,4.81,6.290,0.25,1.080,4,0.03,missing,missing,missing,missing,,missing,missing,,missing,missing
TUBE,146,25,47,31,5.77,,N,0.71,2.350,0.33,1.190,12,0.01,missing,missing,missing,missing,--BE,6,0.02,,missing,missing
TUESDAY,148,12,24,59,missing,,N,missing,missing,missing,missing,3,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
TUG,150,6,11,3,missing,,V,1.00,2.010,0.20,1.130,2,0.01,16,0.10,7,0.08,,missing,missing,,missing,missing
TULIP,147,7,16,4,6.05,,N,1.67,2.090,0.33,1.050,3,0.03,20,0.00,missing,missing,,missing,missing,,missing,missing
TUMBLE,180,13,33,3,4.56,,V,0.75,1.310,0.17,1.120,4,0.02,7,0.03,missing,missing,---BLE,19,0.03,,missing,missing
TUMOR,148,17,38,17,missing,,N,1.86,3.450,0.21,1.070,3,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
TUNA,146,5,13,0,6.53,,N,0.20,1.110,0.40,1.050,6,0.00,missing,missing,missing,missing,,missing,missing,,missing,missing
TUNE,148,14,36,10,4.60,,N,2.21,4.540,0.07,1.040,5,0.01,22,0.01,missing,missing,,missing,missing,,missing,missing
TUNNEL,148,18,38,10,5.51,,N,1.18,2.640,0.29,1.340,9,0.01,3,0.60,missing,missing,,missing,missing,,missing,missing
TUPPERWARE,153,16,35,0,missing,,N,1.33,1.980,0.13,1.200,2,0.03,missing,missing,missing,missing,,missing,missing,,missing,missing
TURKEY,149,14,31,9,6.63,,N,2.23,3.800,0.39,1.680,12,0.01,6,0.27,missing,missing,,missing,missing,,missing,missing
TURN,180,21,58,233,3.40,T,V,1.60,5.260,0.25,1.610,30,0.07,11,0.14,missing,missing,-URN,2,0.59,,missing,missing
TURNIP,146,14,37,0,missing,,N,missing,missing,missing,missing,1,0.03,missing,missing,missing,missing,,missing,missing,,missing,missing
TURTLE,145,18,27,8,6.40,,N,0.82,2.200,0.24,1.640,7,0.04,4,0.37,missing,missing,,missing,missing,,missing,missing
TUSK,144,5,21,3,5.60,,N,0.20,0.960,0.40,1.100,3,0.07,5,0.38,7,0.05,-USK,4,0.11,,missing,missing
TUTU,147,12,33,0,missing,,N,missing,missing,missing,missing,1,0.08,missing,missing,missing,missing,,missing,missing,,missing,missing
TUXEDO,148,11,27,0,missing,,N,2.00,2.150,0.33,1.180,7,0.01,35,0.00,7,0.00,,missing,missing,,missing,missing
TWEEZERS,142,17,37,0,6.93,,N,0.94,2.390,0.24,1.110,4,0.04,missing,missing,missing,missing,,missing,missing,,missing,missing
TWELVE,147,21,44,48,missing,,N,missing,missing,missing,missing,3,0.00,missing,missing,missing,missing,,missing,missing,,missing,missing
TWICE,150,13,35,74,missing,,AD,missing,missing,missing,missing,3,0.02,15,0.03,missing,missing,,missing,missing,,missing,missing
TWIG,148,6,14,1,5.47,,N,1.83,2.650,0.50,1.170,4,0.02,11,0.02,missing,missing,,missing,missing,,missing,missing
TWILIGHT,163,9,26,4,5.77,,N,1.44,3.230,0.22,1.160,3,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
TWIN,138,15,23,7,5.58,,N,1.08,4.610,0.31,1.540,7,0.06,18,0.00,missing,missing,,missing,missing,,missing,missing
TWINE,148,18,38,0,5.05,,N,1.50,1.650,0.14,1.070,2,0.16,21,0.01,missing,missing,,missing,missing,,missing,missing
TWINKLE,148,8,20,3,missing,,N,missing,missing,missing,missing,2,0.03,missing,missing,missing,missing,,missing,missing,,missing,missing
TWIST,149,17,35,18,4.19,G,N,0.87,1.570,0.27,1.190,8,0.00,16,0.02,missing,missing,,missing,missing,,missing,missing
TWISTER,148,10,29,4,missing,,N,2.20,2.600,0.00,1.000,2,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
TWO,146,14,31,1412,3.79,,N,1.67,2.650,0.75,2.890,31,0.01,32,0.03,missing,missing,,missing,missing,,missing,missing
TYLENOL,152,11,23,0,missing,,N,4.40,5.040,0.40,1.330,6,0.00,missing,missing,missing,missing,,missing,missing,,missing,missing
TYPE,147,16,42,200,4.40,N,N,1.17,2.230,0.25,1.120,16,0.03,11,0.10,missing,missing,,missing,missing,,missing,missing
TYPEWRITER,145,17,28,10,5.82,,N,2.38,3.910,0.31,1.210,12,0.00,missing,missing,missing,missing,,missing,missing,,missing,missing
TYPHOON,154,13,35,1,missing,,N,2.33,4.390,0.17,1.020,2,0.03,22,0.01,missing,missing,,missing,missing,,missing,missing
TYPIST,154,15,40,0,missing,,N,2.07,2.930,0.20,1.100,3,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
UGLY,141,14,36,21,3.68,,N,missing,missing,missing,missing,70,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
UKELELE,79,7,8,0,5.49,,N,missing,missing,missing,missing,0,0.24,missing,missing,missing,missing,,missing,missing,,missing,missing
ULCER,149,14,33,5,missing,,N,1.38,2.990,0.15,1.030,2,0.02,missing,missing,missing,missing,,missing,missing,,missing,missing
UMBRELLA,144,8,20,8,7.00,,N,1.00,2.300,0.13,1.040,5,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
UMPIRE,153,13,39,1,5.51,,N,1.27,2.070,0.09,1.060,3,0.02,missing,missing,missing,missing,,missing,missing,,missing,missing
UNAWARE,150,18,46,13,missing,,V,missing,missing,missing,missing,2,0.03,missing,missing,missing,missing,,missing,missing,,missing,missing
UNCLE,143,6,11,57,5.71,G,N,1.17,1.750,0.50,1.900,6,0.05,missing,missing,missing,missing,,missing,missing,,missing,missing
UNCLEAR,147,17,63,57,missing,,AJ,missing,missing,missing,missing,11,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
UNCOMFORTABLE,149,19,69,13,missing,,AJ,1.39,4.580,0.17,1.220,11,0.06,missing,missing,missing,missing,,missing,missing,,missing,missing
UNCOMMON,150,12,44,8,missing,,AJ,3.67,3.620,0.25,1.180,4,0.03,missing,missing,missing,missing,,missing,missing,,missing,missing
UNCONSCIOUS,147,16,38,30,missing,,AJ,1.73,4.200,0.33,1.270,9,0.04,missing,missing,missing,missing,,missing,missing,,missing,missing
UNCOOKED,152,9,22,0,missing,,AJ,1.56,2.170,0.22,1.090,2,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
UNDECIDED,146,19,39,0,missing,,V,missing,missing,missing,missing,4,0.02,missing,missing,missing,missing,,missing,missing,,missing,missing
UNDER,148,11,28,707,3.15,,PP,1.22,2.800,0.33,2.250,19,0.03,missing,missing,missing,missing,,missing,missing,,missing,missing
UNDERGROUND,148,15,43,19,missing,,AJ,1.42,2.350,0.25,1.060,5,0.01,9,0.00,missing,missing,,missing,missing,,missing,missing
UNDERSTAND,148,12,49,137,2.33,,V,0.91,1.370,0.55,2.070,40,0.03,missing,missing,missing,missing,,missing,missing,,missing,missing
UNDERSTANDING,150,21,58,121,missing,,N,1.44,1.960,0.06,1.020,9,0.07,missing,missing,missing,missing,,missing,missing,,missing,missing
UNDERWATER,149,19,43,15,missing,,N,missing,missing,missing,missing,2,0.00,missing,missing,missing,missing,,missing,missing,,missing,missing
UNDERWEAR,139,19,48,3,missing,,N,missing,missing,missing,missing,5,0.01,25,0.00,missing,missing,,missing,missing,,missing,missing
UNEASY,150,19,54,22,missing,,AJ,2.47,4.130,0.18,1.110,7,0.02,missing,missing,missing,missing,,missing,missing,,missing,missing
UNEMPLOYMENT,150,16,50,16,missing,,N,2.64,5.020,0.21,1.340,3,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
UNEQUAL,152,19,39,1,missing,,AJ,1.38,2.920,0.13,1.090,2,0.11,missing,missing,missing,missing,,missing,missing,,missing,missing
UNEVEN,154,22,45,6,missing,,AJ,missing,missing,missing,missing,3,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
UNFAIR,150,16,49,13,missing,,AJ,1.36,1.880,0.21,1.350,8,0.04,missing,missing,missing,missing,,missing,missing,,missing,missing
UNHAPPY,145,5,16,26,3.28,,AJ,1.60,3.110,0.60,1.120,14,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
UNICORN,148,16,29,0,missing,,N,missing,missing,missing,missing,2,0.00,missing,missing,missing,missing,,missing,missing,,missing,missing
UNIFORM,128,20,53,51,6.64,P,N,2.15,5.080,0.15,1.090,10,0.04,missing,missing,missing,missing,,missing,missing,,missing,missing
UNION,147,26,62,182,3.28,G,N,1.61,4.620,0.26,1.210,9,0.03,missing,missing,missing,missing,,missing,missing,,missing,missing
UNIQUE,148,15,38,58,2.96,,AJ,2.71,2.600,0.57,1.420,23,0.05,23,0.01,missing,missing,,missing,missing,,missing,missing
UNIT,147,22,64,103,4.33,,N,1.55,5.020,0.05,1.020,9,0.06,13,0.00,missing,missing,,missing,missing,,missing,missing
UNITE,183,13,40,10,3.02,,V,0.82,1.540,0.36,1.100,6,0.03,19,0.00,missing,missing,,missing,missing,,missing,missing
UNITED,152,9,26,482,3.02,,V,missing,missing,missing,missing,3,0.03,missing,missing,missing,missing,,missing,missing,,missing,missing
UNIVERSE,148,10,21,71,3.63,,N,1.38,1.470,0.50,1.240,13,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
UNIVERSITY,148,14,27,214,5.87,,N,3.15,3.670,0.23,1.150,8,0.02,missing,missing,missing,missing,,missing,missing,,missing,missing
UNJUST,146,14,43,3,2.36,,AJ,2.36,2.810,0.14,1.190,2,0.09,missing,missing,missing,missing,,missing,missing,,missing,missing
UNKNOWN,132,21,53,47,missing,,AJ,missing,missing,missing,missing,20,0.06,26,0.00,missing,missing,,missing,missing,,missing,missing
UNLAWFUL,149,14,48,1,missing,,AJ,3.57,3.580,0.14,1.140,2,0.02,missing,missing,missing,missing,,missing,missing,,missing,missing
UNLOAD,150,21,50,7,missing,,V,missing,missing,missing,missing,1,0.05,missing,missing,missing,missing,,missing,missing,,missing,missing
UNNATURAL,152,19,57,8,missing,,AJ,missing,missing,missing,missing,1,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
UNPLEASANT,154,21,58,15,missing,,AJ,2.25,6.940,0.05,1.050,1,0.02,missing,missing,missing,missing,,missing,missing,,missing,missing
UNSEEN,148,12,54,5,missing,,AJ,missing,missing,missing,missing,6,0.02,missing,missing,missing,missing,,missing,missing,,missing,missing
UNSOLVED,152,9,26,3,missing,,AJ,missing,missing,missing,missing,2,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
UNSURE,154,23,57,1,missing,,AJ,missing,missing,missing,missing,16,0.02,missing,missing,missing,missing,,missing,missing,,missing,missing
UNTRUE,149,4,16,2,missing,,AJ,1.75,2.340,0.75,1.050,9,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
UNTRUTHFUL,153,10,23,0,missing,,AJ,2.89,3.210,0.33,1.070,4,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
UNUSED,147,13,37,3,missing,,AJ,missing,missing,missing,missing,2,0.02,missing,missing,missing,missing,,missing,missing,,missing,missing
UNUSUAL,142,11,27,63,2.20,,AJ,4.36,5.440,0.91,1.370,18,0.03,missing,missing,missing,missing,,missing,missing,,missing,missing
UP,148,5,11,1895,3.80,,AD,1.20,1.330,1.00,2.020,120,0.01,7,0.01,missing,missing,,missing,missing,,missing,missing
UPDATE,148,18,57,1,missing,,V,missing,missing,missing,missing,3,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
UPSET,148,12,33,14,3.18,T,V,2.50,5.770,0.42,1.120,36,0.04,missing,missing,missing,missing,,missing,missing,UP---,3,0.09
UPSTAIRS,150,11,28,28,missing,,N,1.33,1.590,0.11,1.590,4,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
UPSTREAM,148,15,34,5,3.74,,AD,1.86,4.790,0.14,1.230,2,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
UPTIGHT,153,25,49,0,missing,,AJ,missing,missing,missing,missing,5,0.02,missing,missing,missing,missing,,missing,missing,,missing,missing
URANUS,146,12,30,0,missing,,N,4.09,4.840,0.46,1.130,5,0.03,missing,missing,missing,missing,,missing,missing,,missing,missing
URGE,150,21,63,21,2.98,,V,1.50,3.590,0.13,1.050,7,0.02,11,0.03,missing,missing,,missing,missing,,missing,missing
URGENT,138,10,23,21,2.09,,AJ,1.70,2.590,0.20,1.130,2,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
USA,139,11,28,4,missing,,N,1.50,1.770,0.30,1.520,22,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
USE,146,22,56,589,2.88,G,V,missing,missing,missing,missing,19,0.15,missing,missing,missing,missing,,missing,missing,,missing,missing
USED,148,12,28,612,3.11,,V,missing,missing,missing,missing,7,0.02,missing,missing,missing,missing,,missing,missing,,missing,missing
USELESS,153,19,75,17,missing,,AJ,missing,missing,missing,missing,8,0.06,missing,missing,missing,missing,,missing,missing,,missing,missing
USUAL,146,14,43,96,2.39,,AJ,2.79,2.610,0.50,1.340,11,0.03,missing,missing,missing,missing,,missing,missing,,missing,missing
USURP,180,4,23,1,2.56,,V,missing,missing,missing,missing,0,0.78,missing,missing,missing,missing,,missing,missing,,missing,missing
UTENSIL,119,11,18,3,6.58,,N,2.09,3.460,0.55,1.240,6,0.02,4,0.00,missing,missing,,missing,missing,,missing,missing
VACANCY,126,13,29,6,3.66,,N,1.36,3.300,0.09,1.010,2,0.00,missing,missing,missing,missing,,missing,missing,,missing,missing
VACATE,180,8,31,1,3.39,,V,1.25,1.780,0.13,1.010,1,0.02,missing,missing,10,0.01,,missing,missing,,missing,missing
VACATION,148,16,34,47,4.10,,N,1.56,2.530,0.38,1.780,38,0.00,18,0.03,10,0.01,,missing,missing,,missing,missing
VACUUM,144,13,26,20,3.87,,N,1.82,2.660,0.46,1.120,8,0.02,missing,missing,14,0.03,,missing,missing,,missing,missing
VAGRANT,152,13,53,1,missing,,N,1.25,1.470,0.08,1.020,4,0.23,missing,missing,10,0.02,,missing,missing,,missing,missing
VAGUE,148,15,65,25,2.68,,AJ,missing,missing,missing,missing,3,0.05,missing,missing,10,0.55,,missing,missing,,missing,missing
VAIN,140,12,42,10,3.04,N,AJ,1.09,1.520,0.00,1.000,3,0.39,38,0.01,10,0.07,-AIN,6,0.03,V---,16,0.01
VALENTINE,156,11,17,2,4.85,,N,0.90,1.660,0.20,1.110,3,0.00,missing,missing,missing,missing,,missing,missing,,missing,missing
VALLEY,149,13,38,73,6.66,,N,1.25,2.750,0.25,1.130,8,0.07,missing,missing,missing,missing,,missing,missing,,missing,missing
VALOR,146,15,43,1,3.08,,N,1.27,1.670,0.27,1.210,4,0.21,missing,missing,missing,missing,---OR,11,0.05,,missing,missing
VALUABLE,132,15,37,45,2.53,,AJ,3.60,5.320,0.20,1.280,7,0.00,missing,missing,14,0.00,,missing,missing,,missing,missing
VALUE,149,17,42,200,2.15,G,N,2.47,5.470,0.18,1.200,16,0.04,missing,missing,14,0.02,,missing,missing,,missing,missing
VALUES,140,13,32,182,missing,,N,missing,missing,missing,missing,6,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
VALVE,150,18,56,3,missing,,N,1.44,4.240,0.00,1.000,1,0.04,missing,missing,missing,missing,,missing,missing,,missing,missing
VAMPIRE,147,11,26,1,5.12,,N,2.36,2.160,0.36,1.430,11,0.00,missing,missing,14,0.01,,missing,missing,,missing,missing
VAN,145,13,27,32,6.20,,N,2.42,4.710,0.08,1.070,3,0.03,14,0.00,14,0.04,-AN,9,0.02,,missing,missing
VANILLA,142,10,23,1,5.38,,N,1.78,2.350,0.44,1.220,7,0.00,missing,missing,missing,missing,,missing,missing,,missing,missing
VANISH,156,7,16,5,2.40,,V,0.71,1.640,0.29,1.300,7,0.00,missing,missing,missing,missing,,missing,missing,,missing,missing
VANITY,140,18,53,7,1.77,,N,0.94,1.240,0.06,1.030,1,0.14,missing,missing,missing,missing,,missing,missing,,missing,missing
